Nr.,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Total Cases per 1M,Deaths per 1M,Total Tests,Test per 1M,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
1,USA,"31,915,179","+44,452","575,818",+265,"24,475,992","+52,403","6,863,369","9,205","95,984","1,732","419,269,369","1,260,939","332,505,583",North America,10,577,1
2,India,"13,525,364","+169,899","170,209",+904,"12,153,699","+75,366","1,201,456","8,944","9,727",122,"256,626,850","184,558","1,390,493,952",Asia,103,"8,169",5
3,Brazil,"13,482,023","+37,017","353,137","+1,668","11,838,564",,"1,290,322","8,318","63,080","1,652","28,600,000","133,814","213,728,826",South America,16,605,7
4,France,"5,058,680","+34,895","98,750",+176,"309,787","+6,148","4,650,143","5,838","77,367","1,510","69,627,924","1,064,883","65,385,498",Europe,13,662,1
5,Russia,"4,641,390","+8,702","102,986",+337,"4,265,509","+7,230","272,895","2,300","31,794",705,"123,700,000","847,359","145,983,010",Europe,31,"1,418",1
6,UK,"4,369,775","+1,730","127,087",+7,"3,972,029","+10,291","270,659",406,"64,108","1,864","134,289,127","1,970,141","68,162,199",Europe,16,536,1
7,Turkey,"3,849,011","+50,678","33,939",+237,"3,331,411","+30,194","483,661","2,824","45,261",399,"41,591,854","489,083","85,040,447",Asia,22,"2,506",2
8,Italy,"3,769,814","+15,746","114,254",+331,"3,122,555","+15,486","533,005","3,585","62,422","1,892","53,054,866","878,496","60,392,805",Europe,16,529,1
9,Spain,"3,347,512",,"76,328",,"3,095,922",,"175,262","2,050","71,576","1,632","43,458,915","929,228","46,768,828",Europe,14,613,1
10,Germany,"3,009,541","+16,738","78,964",+106,"2,671,200","+9,700","259,377","4,515","35,831",940,"51,559,277","613,862","83,991,585",Europe,28,"1,064",2
11,Poland,"2,574,631","+21,703","58,421",+245,"2,171,301","+28,236","344,909","3,459","68,086","1,545","12,912,603","341,473","37,814,435",Europe,15,647,3
12,Colombia,"2,518,715",,"65,608",,"2,375,176",,"77,931","2,603","49,096","1,279","13,246,202","258,200","51,302,055",South America,20,782,4
13,Argentina,"2,517,300",,"57,647",,"2,217,783",,"241,870","3,761","55,305","1,267","9,527,467","209,319","45,516,495",South America,18,790,5
14,Mexico,"2,278,420","+6,356","209,212",+51,"1,807,676","+2,763","261,532","4,798","17,529","1,610","6,265,261","48,202","129,979,772",North America,57,621,21
15,Iran,"2,070,141","+21,063","64,490",+258,"1,710,974","+8,912","294,677","4,392","24,405",760,"13,673,466","161,200","84,823,127",Asia,41,"1,315",6
16,Ukraine,"1,853,249","+12,112","37,014",+235,"1,410,860","+5,034","405,375",177,"42,575",850,"8,622,424","198,082","43,529,477",Europe,23,"1,176",5
17,Peru,"1,639,767",,"54,669",,"1,557,779",,"27,319","2,321","49,203","1,640","9,945,732","298,434","33,326,366",South America,20,610,3
18,Czechia,"1,580,189","+2,198","27,808",+37,"1,449,052",+129,"103,329","1,220","147,345","2,593","14,308,617","1,334,213","10,724,387",Europe,7,386,1
19,Indonesia,"1,566,995","+4,127","42,530",+87,"1,414,507","+5,219","109,958",,"5,682",154,"13,386,975","48,546","275,759,111",Asia,176,"6,484",21
20,South Africa,"1,558,458",+931,"53,322",+66,"1,483,296",+614,"21,840",546,"26,024",890,"10,138,936","169,303","59,886,167",Africa,38,"1,123",6
21,Netherlands,"1,350,665","+8,218","16,771",+17,N/A,N/A,N/A,781,"78,691",977,"11,292,587","657,913","17,164,268",Europe,13,"1,023",2
22,Chile,"1,076,499","+7,945","24,346",+133,"1,005,860","+7,460","46,293","3,155","55,942","1,265","11,897,931","618,295","19,243,128",South America,18,790,2
23,Canada,"1,058,652","+6,113","23,313",+26,"962,621","+3,988","72,718",928,"27,861",614,"28,875,724","759,925","37,998,103",North America,36,"1,630",1
24,Romania,"1,006,167","+3,302","25,135",+129,"906,659","+4,420","74,373","1,531","52,575","1,313","7,687,854","401,709","19,137,890",Europe,19,761,2
25,Iraq,"924,946","+6,791","14,713",+35,"814,853","+5,190","95,380",436,"22,606",360,"8,508,732","207,953","40,916,625",Asia,44,"2,781",5
26,Belgium,"922,487","+4,570","23,428",+38,"59,432",+267,"839,627",925,"79,328","2,015","11,670,137","1,003,563","11,628,700",Europe,13,496,1
27,Philippines,"864,868","+11,681","14,945",+201,"703,404","+55,204","146,519",751,"7,812",135,"10,764,163","97,231","110,707,106",Asia,128,"7,408",10
28,Sweden,"857,401",,"13,621",,N/A,N/A,N/A,376,"84,489","1,342","7,847,033","773,258","10,148,019",Europe,12,745,1
29,Israel,"835,933",+122,"6,296",+4,"826,205",+690,"3,432",259,"90,886",685,"13,740,302","1,493,902","9,197,590",Asia,11,"1,461",1
30,Portugal,"827,494",+566,"16,916",+6,"784,618",+410,"25,960",113,"81,337","1,663","9,363,361","920,357","10,173,616",Europe,12,601,1
